,brand,brand_id
0,OEM,1
1,Midori,2
2,Shalla,3
3,XUDI,4
4,Xiaomi,5
5,Bee Gee,6
6,Song An Eco,7
7,HARAS,8
8,HAKI,9
9,Ohazo!,10
10,EMELY BOUTIQUE,11
11,TNP,12
12,OEM1,13
13,ĐỒ DA THÀNH LONG TLG,14
14,Praza,15
15,MO hi,16
16,Galaxy Store,17
17,XBags,18
18,SmileBox,19
19,kim phuong,20
20,ANANSHOP688,21
21,King Bag,22
22,MRVUI,23
23,SimpleCarry,24
24,RivaCase,25
25,ARTË,26
26,taky home,27
27,	OEM,28
28,MAGIX,29
29,Sakos,30
30,HENRYSA Bạn của mọi nhà,31
31,Mai Lee,32
32,TakyHome,33
33,Gubag,34
34,dododios,35
35,Orico,36
36,Green Joy,37
37,Wika,38
38,PlasmaKare,39
39,Legaxi,40
40,NAVIVU,41
41,Mai Anh House,42
42,Deli,43
43,Agnite,44
44,TAKIHA,45
45,Travel,46
46,Nifoki,47
47,THAFA,48
48,GREPACO,49
49,PKCB,50
50,SLINEN,51
51,IMAGIC Professional Comestic,52
52,VANDO,53
53,Omron,54
54,Uriage,55
55,Trip,56
56,CHIKIGON,57
57,Baroca,58
58,SHOFUKA,59
59,PaKaSa,60
60,SOHOGO,61
61,MINIIN,62
62,mirrortowers MT,63
63,CHONMUA 365,64
64,TROY,65
65,YME,66
66,JOOMUHNI,67
67,Balzio,68
68,Kakashi ,69
69,KTP,70
70,Trương Gia Túi Vải Túi Canvas,71
71,Inochi,72
72,Cath Kidston,73
73,LFC,74
74,Artline,75
75,5THEWAY,76
76,Oneill,77
77,BISAGO,78
78,AGVA,79
79,Hasun,80
80,US ARMY,81
81,YVan,82
82,ARCTIC HUNTER,83
83,VOLINH,84
84,STARGO,85
85,Naturehike,86
86,DRU,87
87,American Tourister,88
88,KL,89
89,KHONCC,90
90,Tomtoc,91
91,INOXTO,92
92,Sony,93
93,Miti,94
94,DORON,95
95,NAVICOM,96
96,Mr.vui,97
97,LOCAL LION,98
98,NATOLI,99
99,LEXON,100
100,S solo NEW YORK,101
101,Mikkor,102
102,OZUKO,103
103,HT Sports,104
104,Salomon,105
105,Matador,106
106,SUZIN,107
107,Hatsu,108
108,HEWOLF,109
109,TTWN BEAR,110
110,Converse,111
111,Lata,112
112,Tresette,113
113,Mei,114
114,LAUT,115
115,Roncato,116
116,Efora,117
117,AZTRON,118
118,Lubion,119
119,Dolanto,120
120,IDIGO,121
121,Saigon Swagger,122
122,Sea Choice,123
123,Giant,124
124,KeepFood,125
125,PACSAFE,126
126,GOKING,127
127,Macsim,128
128,REEYEE,129
129,Targus,130
130,Lowepro ,131
131,Besti,132
132,TEEMENT,133
133,Solo,134
134,LUGBRO,135
135,TRITA,136
136,GIVI,137
137,Tucano,138
138,Samsonite,139
139,Kmore,140
140,Divoom,141
141,DELSEY,142
142,DD STORE,143
143,UAG,144
144,Umo,145
145,Wenger,146
146,KINGBAG,147
147,Tronsmart,148
148,MARRANT,149
149,Lug,150
150,Bobo,151
151,FA,152
152,Bruno Cavalli,153
153,LAZA,154
154,Nice Villa,155
155,Timberland,156
