,product_id,price,pay_later,vnd_cashback,quantity_sold,brand_id,category_id,seller_id,gender_id,sales_id,revenue
0,179731375,14250,False,0,0,1,1,1,F,1,0
1,249221065,10260,False,0,0,1,2,2,U,2,0
2,102862196,19999,False,0,0,1,2,3,U,3,0
3,115740385,30000,False,0,0,1,2,4,U,4,0
4,102862375,29000,False,0,0,1,2,3,U,5,0
5,106654322,22000,False,0,0,1,2,5,U,6,0
6,102862595,28900,False,0,0,1,2,3,U,7,0
7,173564878,25000,False,0,0,1,1,1,U,8,0
8,150254088,29800,False,0,0,1,2,6,U,9,0
9,184451143,22050,False,590,0,2,1,7,U,10,0
10,102862379,25000,False,0,1,1,2,3,U,11,25000
11,102862525,17999,False,0,0,1,2,3,U,12,0
12,102862187,19999,False,0,0,1,2,3,U,13,0
13,86561895,27104,False,0,1,1,2,8,F,14,27104
14,102862418,19999,False,0,0,1,2,3,U,15,0
15,102862795,28999,False,0,0,1,2,3,U,16,0
16,143613764,20000,False,0,0,1,2,9,U,17,0
17,253296183,21000,False,0,0,1,2,10,U,18,0
18,242185877,29500,False,0,0,1,2,11,U,19,0
19,242225498,29000,False,0,0,1,2,12,U,20,0
20,253349199,21000,False,0,0,1,2,13,U,21,0
21,76296634,53500,False,0,64,1,1,14,U,22,3424000
22,87100406,49890,False,0,5,1,1,15,U,23,249450
23,120788760,49700,False,0,3,1,2,16,U,24,149100
24,26025061,54450,False,0,31,3,3,8,U,25,1687950
25,45842346,49000,False,0,414,1,3,17,U,26,20286000
26,243085045,34900,False,0,0,1,1,18,U,27,0
27,76202712,56600,False,0,9,1,1,14,U,28,509400
28,10159834,38458,False,0,31,1,3,8,F,29,1192198
29,103665069,49000,False,0,11,1,1,19,F,30,539000
30,103222869,49000,False,0,3,1,1,20,F,31,147000
31,168464521,40000,False,0,1,1,2,21,U,32,40000
32,44076586,38458,False,0,28,3,3,8,F,33,1076824
33,160293812,45000,False,0,0,1,1,22,F,34,0
34,147462249,32000,False,0,3,1,2,23,U,35,96000
35,49954016,49000,False,0,83,1,3,17,F,36,4067000
36,14790605,37999,False,0,198,1,3,24,U,37,7523802
37,136940136,45000,False,0,0,1,2,25,U,38,0
38,136940160,49000,False,0,0,1,2,25,U,39,0
39,2900725,51278,False,0,2,1,3,8,F,40,102556
40,147464057,32000,False,0,0,1,2,23,U,41,0
41,147487728,32000,False,0,2,1,2,23,U,42,64000
42,51513897,49000,False,0,10,1,3,17,U,43,490000
43,213881742,39900,False,0,0,1,2,26,U,44,0
